Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio,Random
svcrbf,100.0,100.0,100.0,100.0,0.0,95.18383838383838,97.20443633466158,82.34042528147089,81.73977553230336,11.62718235282884,94.87999999999998,97.01543142795046,81.99999999999999,80.92016306286945,1.722556357993119,5.0,0
svclin,100.0,100.0,100.0,100.0,0.0,94.1858585858586,96.52176119211472,82.05863617628323,79.04311785118969,10.416387223976502,93.92,96.39709465268938,80.52193805338862,77.27359173759228,4.888110369254928,5.0,0
logistic,100.0,100.0,100.0,100.0,0.0,93.5858585858586,96.15039693345211,80.46644388749652,77.30465325985747,5.780605293177917,94.72,96.84195628089802,83.88266545328372,80.83984661266838,1.649398263113374,5.0,0
random,100.0,100.0,100.0,100.0,0.0,93.77979797979798,96.38674219062406,77.09522364917248,75.90159573434849,13.770356120468264,92.8,95.82249883046345,73.93294287411936,72.28347480445828,2.4028232899311623,5.0,0
knn,100.0,100.0,100.0,100.0,0.0,93.37979797979798,96.13369563564204,76.55501089324619,74.43250189137225,12.810830755968755,93.44,96.16508306233676,77.31328320802007,74.9670186843806,1.5227521547205072,5.0,0
svcrbf,100.0,100.0,100.0,100.0,0.0,95.36398467432949,97.36361075847782,80.72840396533388,79.80260615405707,7.133298722091524,97.67123287671232,98.65045745870272,91.50719199499687,90.32413483264072,2.666681209272458,6.0,0
svclin,100.0,100.0,100.0,100.0,0.0,93.47038019451811,96.20200962555788,76.57450076804915,73.22363959597935,7.54803465486309,96.84931506849315,98.16475289890352,88.867217675499,87.08253408538512,3.301132067901815,6.0,0
logistic,100.0,100.0,100.0,100.0,0.0,93.81373415856174,96.39830519149707,77.9821486571961,74.75603595793181,10.134787961678782,96.7123287671233,98.07678714859438,88.68217054263566,86.7723187694697,2.296278387851998,6.0,0
random,100.0,100.0,100.0,100.0,0.0,94.16592985558503,96.70795049067392,74.27110953562565,73.90424156932406,11.095430142980288,95.61643835616437,97.4802563742032,83.14035087719297,81.33690327037452,2.76369210892262,6.0,0
knn,100.0,100.0,100.0,100.0,0.0,93.9920424403183,96.52518711045818,77.81720430107526,74.64125375403202,14.94123379288055,95.61643835616438,97.43550200803212,84.91694352159469,82.36519878785836,4.142019860990603,6.0,0
svcrbf,99.9624060150376,99.97847147470398,99.85185185185183,99.83103835472158,0.3778097244327234,96.2406015037594,97.89094463174716,82.67540065092902,81.74144819561997,9.566044499209452,95.20958083832336,97.32573754423768,77.03267973856211,76.58706707901453,3.903732969878693,7.0,0
svclin,99.9248120300752,99.9569891975826,99.70147591200222,99.65991359076664,0.465698194010695,94.8872180451128,97.07176613762076,79.80421728808827,77.09877662540858,9.305251737810332,94.13173652694609,96.66314639498452,75.66752246469832,72.48891704012006,3.3247689916603407,7.0,0
logistic,100.0,100.0,100.0,100.0,0.0,94.28571428571428,96.69636581440992,78.60714285714286,75.90284688902287,11.777825117101097,93.89221556886228,96.52195845955984,74.92718663450371,71.57575328084447,3.06492993027291,7.0,0
random,99.81203007518798,99.89258846552562,99.24806966912232,99.1428400688458,0.6116132401044067,95.48872180451126,97.48022695124978,78.35336617405582,77.82136084199729,9.754583090648948,93.77245508982035,96.5220358615265,70.15589118530295,68.63544542616152,5.386218144653217,7.0,0
knn,100.0,100.0,100.0,100.0,0.0,96.09022556390975,97.79074254647534,82.96428571428571,81.52886531028089,8.080792490131662,95.08982035928145,97.22672579815436,78.58463726884779,76.37598604613123,2.8828147144366225,7.0,0
svcrbf,99.93322203672788,99.9623706491063,99.7037037037037,99.66745892612614,0.4553506186442601,95.99194630872483,97.77984459465576,79.29629629629629,78.25769545447795,8.75531452984782,96.59574468085108,98.10650162450878,83.1527884159463,81.8644402210947,1.5960658560834664,8.0,0
svclin,99.86633240462086,99.92474129821262,99.40295182400445,99.33049931044786,0.3743030151449718,95.05413870246085,97.20910355519972,78.18300653594773,75.61144944307425,4.22139394832842,95.0,97.17456287503462,78.2510914324276,75.52875407069423,4.130218002159846,8.0,0
logistic,100.0,100.0,100.0,100.0,0.0,95.05413870246085,97.20430468791938,78.35343260111063,76.07168928625134,1.7974203795209154,94.6808510638298,96.9908255780874,77.09439914091078,74.17768896230545,2.803057245535348,8.0,0
random,99.86633240462086,99.92474129821262,99.40295182400445,99.33049931044786,0.3743030151449718,95.72080536912752,97.64590588871395,76.38095238095238,76.30029641163505,6.973012745918775,95.53191489361704,97.52071929992084,77.40477319424687,75.77900577461104,1.715227460397512,8.0,0
knn,100.0,100.0,100.0,100.0,0.0,95.7199105145414,97.6185368516998,78.78451178451178,77.01168749787288,7.06904640738635,95.85106382978724,97.69239858569884,79.3984962406015,77.73502364336113,6.491456746984251,8.0,0
