,n_estimators,max_samples,max_depth,bootstrap,rank,test_means,test_stds,train_means,train_stds
59,460,0.6,7,True,104,0.6985165730429641,0.05507628104618579,0.9644454654382629,0.006343413580814634
60,310,0.1,6,True,191,0.45311058329895626,0.07506315231603197,0.5533961737202966,0.04737011037757766
61,450,1.0,6,True,41,0.74217195422674,0.03815910340775601,1.0,0.0
62,380,0.6,7,True,89,0.7080174581912646,0.045054528888352756,0.957560963209386,0.007687692550638192
63,300,0.1,6,True,196,0.41740674093820457,0.05119993683854155,0.5396865505110694,0.05087903008126619
64,100,0.4,3,True,99,0.702092611621955,0.07049342360907608,0.8751208834111802,0.020354140490276867
65,220,0.2,3,True,117,0.690275113564957,0.053154414617702,0.7843612251711624,0.025205798402013313
66,170,0.7000000000000001,7,True,94,0.7074614279712266,0.04738635370994916,0.9831081910232269,0.0106857972134187
67,440,0.9,6,True,41,0.74217195422674,0.03815910340775601,0.9983565049231631,0.0032869901536739295
68,370,0.2,3,True,122,0.689690246263421,0.052331671020062205,0.7847558115397731,0.014060753553026365
69,220,0.30000000000000004,3,True,11,0.7679183835850741,0.025660332959931653,0.8414360702435584,0.01794580060836076
70,40,0.5,4,True,100,0.701480533963928,0.060803214737422444,0.9013292439500395,0.01818974813372088
71,400,0.9,5,True,12,0.7663377952185766,0.04408825329942898,0.9884049812339027,0.004050134923231084
72,310,0.9,5,True,24,0.7584488469383761,0.042858751135328346,0.9849501847170024,0.009818881730883413
73,170,0.1,7,True,197,0.39405226970747165,0.10166295449254006,0.5033137082845658,0.059961300613101974
74,450,1.0,5,True,5,0.7741414375778769,0.04387981011949867,0.9868675997374792,0.003923599749582036
75,240,0.6,5,True,66,0.7255942686010155,0.0345874506027768,0.9454701570419697,0.010505159377871009
76,200,0.4,6,True,159,0.6526595554822696,0.0673362990837127,0.8687508871969868,0.02079020384441489
77,10,0.4,5,True,162,0.6425130923287747,0.08123670478067611,0.8401236008981419,0.040272047551438234
78,180,0.9,5,True,5,0.7741414375778769,0.04387981011949867,0.9833232111597836,0.007484429315140228
79,370,1.0,2,True,164,0.6409832248226277,0.049499066537907956,0.7355587183146785,0.012731402623203153
80,200,0.7000000000000001,7,True,89,0.7080174581912646,0.045054528888352756,0.9865478081125867,0.011394013249912726
81,450,0.30000000000000004,2,True,131,0.676541177077242,0.07080430404586265,0.7927876296920819,0.011048913126250863
82,480,0.6,7,True,101,0.6998691414291837,0.040253439549042085,0.9558412760887383,0.00998640321109033
83,410,0.4,3,True,51,0.7391440065414902,0.05071613248127429,0.8697584593012057,0.011398210866642677
84,390,0.8,4,True,10,0.7684203711930102,0.05960788832614964,0.9410904878344404,0.005373709866537924
85,10,0.7000000000000001,2,True,168,0.6277322942507924,0.14540783324338366,0.6668517573210815,0.037800688718718646
86,90,0.5,7,True,107,0.6967865047264394,0.07847879882995192,0.9119893375870021,0.027490929536843126
87,240,0.1,3,True,187,0.5032425887434434,0.05977770764924619,0.6087705473531875,0.04012472974095654
88,40,1.0,6,True,56,0.7332873722043172,0.04887771184874646,0.9917862416933207,0.0073216159126382584
89,50,0.6,6,True,88,0.7081529708591867,0.04243362914554609,0.934951285691872,0.012247705164070003
90,370,0.6,3,True,63,0.7268625901481702,0.056420621970292455,0.8688414626996934,0.01878293211435133
91,430,1.0,4,True,18,0.7638960499814251,0.03980417979852048,0.944576540655615,0.006736287391446063
92,280,0.30000000000000004,2,True,108,0.6933024630026997,0.0716145908657582,0.7836123986687159,0.022626985780128138
93,160,0.9,2,True,166,0.634199036486937,0.04960426872605099,0.7438772790820529,0.018345841091746657
94,400,0.2,4,True,167,0.6329012333107342,0.08573658542932944,0.7711488233417045,0.017658668610597686
95,20,1.0,2,True,153,0.656411878943313,0.09593366231172455,0.7083051558896728,0.04235181998898193
96,150,0.4,6,True,158,0.6529416410557187,0.07027278466805566,0.868751251098643,0.015520548909576928
97,480,0.1,5,True,190,0.45687005827639904,0.04387831764406643,0.539953802533936,0.0466608661456904
98,470,0.6,4,True,40,0.7442320715836572,0.06864109642143396,0.9248134305478313,0.006387437916240755
99,290,0.2,4,True,169,0.6193619316078766,0.03866880519297697,0.7708978847844632,0.020785723072409275
100,270,0.7000000000000001,3,True,79,0.7162243831355639,0.06486849403474462,0.8768637318687388,0.018750305337828652
101,100,0.9,2,True,149,0.6600955126366297,0.05684080676744658,0.7444358424674492,0.02364753642554615
102,450,0.9,7,True,80,0.7161845547507462,0.05792043352602191,1.0,0.0
103,220,0.7000000000000001,3,True,76,0.7197265502277777,0.03970457133879659,0.8695099153274972,0.011959335107781653
104,160,0.7000000000000001,3,True,82,0.7161628025230561,0.06918796559677069,0.8695518380803918,0.009962563759061195
105,140,0.5,3,True,39,0.744633293270956,0.04591710313409998,0.8658263049074181,0.02250540654801142
106,90,0.8,3,True,73,0.7221803383417817,0.08879707790896559,0.8680624235904999,0.016638961508431315
107,190,0.2,7,True,178,0.6052261069638786,0.07587304317312311,0.7345302241381335,0.02137080989743058
108,480,0.30000000000000004,5,True,148,0.6611623819316689,0.07108785443656504,0.8277661239853664,0.014582450142753868
109,130,0.1,4,True,185,0.5141928044852218,0.052923558762489116,0.5526019650107964,0.05243364437788493
110,20,0.5,7,True,136,0.6718501597639358,0.05395148940882626,0.8870910572268869,0.009640780875844723
111,130,0.30000000000000004,6,True,130,0.6785970422569313,0.08332477323185361,0.8181532199377355,0.018574350813008584
112,490,0.1,2,True,171,0.6177060201739855,0.054984120775885825,0.6828668617534795,0.012689743103214187
113,340,0.8,2,True,143,0.6661824137373169,0.06690305428592683,0.7505903865306947,0.02231050921725549
114,60,0.8,7,True,75,0.7217364483360054,0.07526613388234657,0.9933154373140866,0.0033425673712602095
115,390,0.4,3,True,74,0.7217387978399673,0.06391687066631123,0.8676875052950719,0.017744958183267066
116,220,0.6,7,True,116,0.6903773332528231,0.051397535056772824,0.9576045664186926,0.011898939617773994
117,50,1.0,7,True,1,0.7824048294623799,0.030171639008341147,0.9983565049231631,0.0032869901536739295
118,240,0.1,5,True,194,0.42909649818036,0.06820642778512293,0.5576346574263394,0.05798163031189521
119,80,1.0,6,True,7,0.7739138670478921,0.05018439076091993,0.9966688201486289,0.004079845438649862
120,30,0.6,6,True,98,0.7034207116250851,0.08931632052614204,0.9591510735229388,0.015080401188787038
121,30,0.5,4,True,95,0.7071215736842865,0.08111845596311093,0.8890557845035557,0.021030603385355413
122,250,0.4,5,True,105,0.6980904652278591,0.05412060670959929,0.8631955210249688,0.004827847634084357
123,370,0.2,2,True,135,0.6739125839074191,0.04767236131350695,0.7724770168368883,0.01829113833636168
124,90,0.8,2,True,151,0.6580381961227875,0.07606151319686881,0.7380871194331128,0.03134798608833825
125,240,0.2,2,True,110,0.6916930987380571,0.07310876676776888,0.7863749944171927,0.018408387492866395
126,230,0.7000000000000001,4,True,27,0.7545599017897058,0.049167793057176605,0.9304760316259836,0.006251477705762739
127,140,0.2,5,True,179,0.5897933268776219,0.036876652322852074,0.7622825487091426,0.04251654156386023
128,200,0.4,4,True,62,0.7271594391088223,0.025066020537214923,0.879570808724616,0.01903933204608756
129,490,0.30000000000000004,3,True,78,0.7189676906869933,0.023017273932428584,0.8503292383136147,0.01918911296338514
130,470,0.9,6,True,36,0.7489134908419743,0.055207813393011465,0.9983565049231631,0.0032869901536739295
131,300,0.1,3,True,183,0.5248614925915143,0.06158425755907975,0.6116773061547731,0.03049484723883882
132,490,0.2,6,True,175,0.6070121369965024,0.057363280662087436,0.7324557852664766,0.01932660738853943
133,270,0.2,3,True,113,0.6910617716407097,0.036708997761037275,0.7826038212410357,0.015392966728447702
134,230,0.7000000000000001,7,True,80,0.7161845547507462,0.05792043352602191,0.986560299821053,0.00408278008204422
135,220,0.1,4,True,195,0.4271857669932455,0.08776380284890047,0.5365548804637417,0.05452765603558657
136,190,0.4,2,True,138,0.6716439957197728,0.053215332483313935,0.7761917440450308,0.008510998339904171
137,320,0.30000000000000004,2,True,141,0.669703370957748,0.07672174271773408,0.785464141333682,0.009979668764372732
138,10,0.2,5,True,181,0.5608168523537247,0.061199931704208205,0.6790079172512609,0.06012015776751404
139,180,0.4,7,True,140,0.6697246932096039,0.07367326083014522,0.8615340542291374,0.010324176875075397
140,440,0.4,6,True,146,0.6619670731180878,0.0684542554027949,0.8688844324604329,0.00973692251727182
141,280,0.5,7,True,120,0.6899947896024957,0.05613515735477699,0.9157235504073655,0.0033558839891999286
142,140,0.1,7,True,192,0.45229057445859333,0.06957455598745495,0.543451906485788,0.06641495517511875
143,310,0.2,7,True,175,0.6070121369965024,0.057363280662087436,0.7264009466631515,0.014659810297837497
144,50,0.4,2,True,142,0.6695242196736639,0.048070128720310745,0.7618612757503704,0.04597153763528642
145,470,0.8,5,True,13,0.7663159344052259,0.04409659548256772,0.9765124685071946,0.009815001078184555
146,10,0.1,6,True,200,0.32284060342421517,0.17370318606979282,0.4592984256792296,0.09461771056385121
147,420,0.4,4,True,41,0.74217195422674,0.03815910340775601,0.8777919251143732,0.011319382709715898
148,300,1.0,6,True,16,0.7660455078648709,0.03896173986713925,0.9966909149974775,0.004052935453069011
149,10,0.5,2,True,165,0.636065916596942,0.07837068830501925,0.6844936093811175,0.05471825223190734
150,30,0.7000000000000001,7,True,93,0.7075993262027283,0.06134631388609024,0.9557297795446104,0.013972998594945173
151,230,0.5,5,True,91,0.7077753035030071,0.04034472196372395,0.9190722301222982,0.022653086493370722
152,180,0.30000000000000004,4,True,87,0.7085101738826121,0.047032947652187004,0.8349968532144659,0.020069349475605992
153,490,0.8,5,True,13,0.7663159344052259,0.04409659548256772,0.9832198561278999,0.005432018875114126
154,440,0.6,5,True,26,0.7580933871123967,0.04982159273523292,0.9454769139723933,0.010315727301042278
155,310,0.5,6,True,127,0.6811387204086847,0.05202724475282355,0.9156196209007685,0.017268416144090457
156,400,0.5,4,True,48,0.7421087817544662,0.0502969654925058,0.9087016732035377,0.00439924159214512
157,340,0.7000000000000001,4,True,3,0.7776626331411616,0.026191279928548746,0.930398457590172,0.006520648736186702
158,210,0.2,3,True,113,0.6910617716407097,0.036708997761037275,0.7763826634579749,0.025640203999641707
159,230,0.1,3,True,182,0.55789910775248,0.050322052242829346,0.6507042289301737,0.04822469257192685
160,310,0.4,6,True,137,0.6718312027728667,0.05396209019895515,0.8687993189914602,0.015546647441956515
161,240,0.9,5,True,2,0.781691821620455,0.04869714223743411,0.9833927802527944,0.007487265236146739
162,300,0.5,6,True,112,0.6913365725655165,0.041961615721937254,0.9049206390687091,0.015223294163901977
163,480,0.8,6,True,57,0.7328980866130436,0.05286910082074697,0.9983565049231631,0.0032869901536739295
164,180,0.6,4,True,23,0.7590111567226179,0.03248389724457309,0.929863170551495,0.009934641539850506
165,400,0.7000000000000001,6,True,70,0.7244687177494,0.04867554718782676,0.9916192119173015,0.0052797280167084125
166,400,0.1,2,True,173,0.6084796118364234,0.061307116377328455,0.6758997517544312,0.02489055629704904
167,440,0.2,3,True,121,0.6897699180647578,0.05233046269014992,0.780710132808242,0.012522766817470445
168,420,1.0,6,True,32,0.750267883939746,0.047435165858679296,0.9983565049231631,0.0032869901536739295
169,480,0.4,6,True,145,0.6632986339091994,0.05073335877257406,0.8632296668433221,0.015482835963605342
170,270,0.1,3,True,184,0.523134159896371,0.07672087858101186,0.625840185389894,0.030139438629761987
171,310,0.8,3,True,77,0.719615943204585,0.06876942385143159,0.8742036763161934,0.015825028914100234
172,30,0.1,5,True,189,0.46359015679334137,0.0815906628172587,0.5328273880982518,0.06579448309982351
173,420,0.9,7,True,72,0.7243655177493764,0.05915423162050708,1.0,0.0
174,100,0.2,2,True,163,0.6421880381344703,0.07030239871241928,0.7697946774326269,0.02493814738669648
175,100,1.0,4,True,38,0.7468280667609659,0.05664785181342316,0.9466442037694447,0.011958316282984266
176,50,0.1,7,True,198,0.389259620797853,0.06869095109348726,0.5242874468043001,0.04407230568928409
177,320,0.7000000000000001,7,True,115,0.690889802277065,0.05050866854146308,0.986560299821053,0.00408278008204422
178,420,0.8,2,True,150,0.6588514885933912,0.06964847134373986,0.7485210216454157,0.020844939444736085
179,90,0.5,5,True,55,0.7337752315996457,0.03444963274544879,0.9138149711862432,0.0166036786015625
180,90,0.5,6,True,125,0.6811915597136281,0.07333493419695065,0.9173942842786177,0.010890719577326083
