,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,rank,test_means,test_stds,train_means,train_stds
31,1.0,0.00379269019073225,0.26366508987303583,300,4,0.6,0.625,58,0.7790598428403901,0.06587915667755662,1.0,0.0
32,0.625,2.9763514416313193,0.00018329807108324357,500,4,0.8,0.875,125,0.7370406253954322,0.0623196562951582,1.0,0.0
33,0.625,0.0006158482110660267,1.623776739188721,800,5,0.7000000000000001,0.625,168,0.689717998559866,0.049014134169700636,1.0,0.0
34,1.0,0.04281332398719392,0.4832930238571752,700,5,0.9,0.625,126,0.7352761203330541,0.0743282316110087,1.0,0.0
35,0.625,0.00206913808111479,0.0003359818286283781,500,4,0.7000000000000001,0.625,178,0.6760389544557107,0.08707308293224669,1.0,0.0
36,1.0,5.455594781168514,0.0006158482110660267,100,6,0.7000000000000001,0.5,72,0.7685488286458441,0.08313561319127416,1.0,0.0
37,0.875,0.00206913808111479,0.0011288378916846883,500,7,1.0,0.5,163,0.6933119910517038,0.05366498389441472,1.0,0.0
38,0.875,0.4832930238571752,0.4832930238571752,100,5,0.8,0.875,160,0.6952037319296632,0.08024004611690963,1.0,0.0
39,1.0,0.0006158482110660267,10.0,300,4,0.30000000000000004,0.75,121,0.7388811793774488,0.0804099332180145,0.974256504519202,0.01045075516854731
40,0.5,0.00206913808111479,0.0003359818286283781,100,4,0.4,1.0,74,0.7671477752565418,0.06481773032142506,1.0,0.0
41,0.625,0.26366508987303583,10.0,200,5,0.8,1.0,157,0.6995247042168726,0.05736675454113215,0.9683309991471647,0.0180720364036323
42,0.625,0.00018329807108324357,0.04281332398719392,400,3,0.6,0.625,139,0.7262171933568948,0.06455017546529021,1.0,0.0
43,0.5,0.0011288378916846883,0.00206913808111479,500,5,0.7000000000000001,0.875,180,0.6716208027969103,0.10040510735795626,1.0,0.0
44,0.625,0.07847599703514607,0.14384498882876628,300,4,0.5,0.75,92,0.7563707412101122,0.05462965884034285,1.0,0.0
45,1.0,1.623776739188721,0.04281332398719392,500,4,0.7000000000000001,1.0,90,0.7568933699039085,0.09477206025584185,1.0,0.0
46,0.75,0.0069519279617756054,0.0001,300,7,0.2,0.75,34,0.7964356970516989,0.08431101139710058,1.0,0.0
47,0.5,0.0003359818286283781,0.0001,400,5,1.0,1.0,200,0.39533939404737106,0.07245102870888252,0.5774767890402756,0.06904584479672378
48,0.75,0.00379269019073225,0.0001,700,3,0.1,0.5,10,0.8117456924420399,0.04720352756068977,1.0,0.0
49,0.625,2.9763514416313193,0.00018329807108324357,500,4,1.0,0.875,148,0.7164503406537616,0.03533494269549416,1.0,0.0
50,0.5,10.0,1.623776739188721,100,4,0.9,1.0,132,0.7306605671785699,0.07589958937420699,1.0,0.0
51,1.0,0.00379269019073225,0.8858667904100823,300,6,0.30000000000000004,0.75,29,0.798015610778673,0.06761280702600708,1.0,0.0
52,0.625,0.26366508987303583,0.00206913808111479,600,7,0.8,0.875,162,0.6941266652260312,0.054111935972253715,1.0,0.0
53,0.75,0.8858667904100823,10.0,700,5,0.2,0.5,96,0.7555254860532654,0.029700475446657222,0.9869005941186713,0.006368599751226096
54,1.0,10.0,0.4832930238571752,600,7,0.2,0.75,26,0.7998719846782488,0.07069186099498806,1.0,0.0
55,0.625,5.455594781168514,0.0001,200,3,0.5,0.5,112,0.7443287743069325,0.08350316535577004,1.0,0.0
56,0.625,0.012742749857031334,10.0,200,3,0.7000000000000001,0.5,181,0.6711277876161098,0.05344710692918285,0.9728163471217715,0.01435484181753109
57,0.875,0.14384498882876628,10.0,800,7,0.30000000000000004,1.0,33,0.7970643372827284,0.05942542007295175,0.990106962466682,0.0031849855436076194
58,1.0,0.07847599703514607,0.0001,800,4,0.1,0.5,27,0.799653636879046,0.06293181914496018,1.0,0.0
59,0.75,0.04281332398719392,0.0069519279617756054,500,4,0.1,0.875,12,0.8111831313075969,0.08409452949246085,1.0,0.0
60,0.5,0.0069519279617756054,0.4832930238571752,100,3,0.4,0.875,88,0.7581201309153502,0.06223177127437903,1.0,0.0
61,0.875,0.00206913808111479,2.9763514416313193,600,4,0.1,0.5,35,0.7956773391946996,0.07881580428512698,0.9983565049231631,0.0032869901536739295
62,0.5,0.012742749857031334,5.455594781168514,700,4,0.8,0.5,117,0.7416936626846831,0.046788980729580855,0.9820450997596895,0.005995095251923307
63,0.75,0.4832930238571752,2.9763514416313193,700,7,1.0,0.5,179,0.6749479589128782,0.05149255533276984,0.9966688201486289,0.004079845438649862
64,0.5,0.0001,0.8858667904100823,200,6,0.5,0.875,83,0.7598413540554734,0.05912591138281447,1.0,0.0
65,0.625,0.04281332398719392,1.623776739188721,100,5,0.5,0.875,116,0.742190437689085,0.06271281687837267,1.0,0.0
66,0.625,0.00018329807108324357,0.00206913808111479,700,6,0.9,0.5,197,0.5859205274119019,0.15677848549993384,0.9017305773501487,0.1965388452997024
